購買會員代號,帳號,性別,年齡,星座,聯絡地區,訂閱電子報,交易次數,訂單時間,首購季節,服務名稱,首購服務,交易金額,供應商,回購,回購天數,回購日期,回購服務名稱,回購服務,回購金額,回購供應商,年齡組距,首購年份,回購預測
20010100008,FB,未提供,32,處女座,桃園市,0,1,2020/1/1,冬,冷氣清洗保養+醫療級消毒,冷氣清潔,5699,家必潔,0,,,,,,,"(30.0, 36.0]",2020,0
20010100009,email,未提供,44,雙子座,台北市,0,2,2020/1/1,冬,【水電服務】家庭水電問題檢修 ,水電服務,600,合邦商,0,,,,,,,"(42.0, 48.0]",2020,0
20010100010,FB,未提供,50,牡羊座,新北市,0,1,2020/1/1,冬,洗衣機清洗+醫療級消毒(滾筒/直立),洗衣機清潔,1799,快速潔,0,,,,,,,"(48.0, 54.0]",2020,0
19123100033,FB,未提供,43,射手座,新北市,0,1,2020/1/1,冬,水管清洗,水塔、水管,4200,家必潔,0,,,,,,,"(42.0, 48.0]",2020,1
19120100009,email,未提供,0,未提供,新北市,0,1,2020/1/1,冬,床墊精油清洗除污漬,床墊清洗,3899,三贏實,0,,,,,,,未提供,2020,1
20010100014,email,女,50,雙子座,新竹市,0,1,2020/1/1,冬,行李箱維修-到府收送,行李箱維修,1300,亞商傲,0,,,,,,,"(48.0, 54.0]",2020,1
19123100034,email,未提供,48,天蠍座,台中市,0,1,2020/1/1,冬,冷氣清洗保養+醫療級消毒,冷氣清潔,1849,這對寶,0,,,,,,,"(42.0, 48.0]",2020,0
20010100020,email,未提供,51,獅子座,新北市,0,1,2020/1/1,冬,洗衣機清洗+醫療級消毒(滾筒/直立),洗衣機清潔,1899,快速潔,0,,,,,,,"(48.0, 54.0]",2020,0
20010100024,FB,未提供,25,牡羊座,新北市,0,2,2020/1/1,冬,居家清潔四小時(台中以北),大掃除、居家清潔,2300,家必潔,1,64.0,2020/3/4,居家清潔四小時(苗栗以北),大掃除、居家清潔,1700.0,家必潔有限公司,"(24.0, 30.0]",2020,1
20010100030,email,未提供,46,獅子座,台北市,0,1,2020/1/1,冬,冷氣清洗保養+高溫蒸氣殺菌處理+免費檢測,冷氣清潔,5699,冠瑋專,0,,,,,,,"(42.0, 48.0]",2020,1
20010100032,FB,未提供,54,天秤座,台中市,0,1,2020/1/1,冬,居家清潔四小時(台中以北),大掃除、居家清潔,2150,家必潔,0,,,,,,,"(48.0, 54.0]",2020,0
20010100037,FB,未提供,0,未提供,高雄市,0,1,2020/1/1,冬,【玩偶送洗】不限尺寸單件到府收送 ,送洗類,800,亮麗專,0,,,,,,,未提供,2020,1
20010100036,FB,未提供,0,未提供,新北市,0,2,2020/1/1,冬,行李箱維修-到府收送,行李箱維修,350,亞商傲,0,,,,,,,未提供,2020,1
20010100039,email,未提供,35,處女座,新北市,0,1,2020/1/1,冬,【水電服務】燈具安裝 (可代工安裝),水電服務,1200,合邦商,0,,,,,,,"(30.0, 36.0]",2020,0
20010100043,email,未提供,32,雙子座,台中市,0,1,2020/1/1,冬,【棉被送洗】不限尺寸單件到府收送 (再升級洗黃斑+真空壓縮),送洗類,600,亮麗專,0,,,,,,,"(30.0, 36.0]",2020,1
19123000034,email,未提供,20,水瓶座,桃園市,0,1,2020/1/2,冬,床墊精油清洗除污漬,床墊清洗,2200,三贏實,0,,,,,,,"(18.0, 24.0]",2020,0
20010100038,FB,男,43,天蠍座,新北市,0,1,2020/1/2,冬,【水電服務】自來水加壓馬達安裝,水電服務,4600,合邦商,0,,,,,,,"(42.0, 48.0]",2020,1
20010200004,email,未提供,36,摩羯座,新北市,0,2,2020/1/2,冬,洗衣機清洗+醫療級消毒(滾筒/直立),洗衣機清潔,3633,快速潔,1,14.0,2020/1/15,專業機能窗簾清洗(抗菌除?、防水防污),窗簾清洗,13545.0,台灣松阡科技織造有限公司,"(30.0, 36.0]",2020,1
20010200006,email,未提供,27,雙魚座,台北市,0,2,2020/1/2,冬,居家清潔四小時(台中以北),大掃除、居家清潔,2300,家必潔,0,,,,,,,"(24.0, 30.0]",2020,1
20010200007,email,未提供,39,處女座,台北市,0,1,2020/1/2,冬,沙發清潔,沙發清潔,3000,綠力潔,0,,,,,,,"(36.0, 42.0]",2020,0
20010200009,email,未提供,0,未提供,彰化縣,0,1,2020/1/2,冬,冷氣清洗保養+醫療級消毒,冷氣清潔,5699,家必潔,0,,,,,,,未提供,2020,0
20010200013,email,未提供,25,巨蟹座,新北市,0,1,2020/1/2,冬,冷氣清洗保養+醫療級消毒,冷氣清潔,1999,家必潔,0,,,,,,,"(24.0, 30.0]",2020,0
20010200014,email,未提供,46,金牛座,台北市,0,2,2020/1/2,冬,居家清潔四小時(台中以北),大掃除、居家清潔,2000,快速潔,1,1.0,2020/1/2,甲醛治理維護(裝潢後除甲醛服務),除甲醛,30000.0,佳迪恩環保科技有限公司,"(42.0, 48.0]",2020,1
20010200017,email,未提供,26,巨蟹座,台中市,0,1,2020/1/2,冬,沙發清潔,沙發清潔,4200,王文勳,0,,,,,,,"(24.0, 30.0]",2020,0
19123100036,FB,未提供,0,未提供,台北市,0,1,2020/1/2,冬,仿木紋地板鋪設(塑膠地板、礦石防水地板、超耐磨地板),地板油漆,18400,說事實,0,,,,,,,未提供,2020,0
20010200026,email,未提供,41,牡羊座,高雄市,0,1,2020/1/2,冬,床墊精油清洗除污漬,床墊清洗,3200,家家淨,0,,,,,,,"(36.0, 42.0]",2020,1
20010100022,FB,未提供,0,未提供,台南市,0,1,2020/1/2,冬,冷氣清洗保養+醫療級消毒,冷氣清潔,1999,家必潔,0,,,,,,,未提供,2020,0
20010200030,email,未提供,33,射手座,台中市,0,1,2020/1/2,冬,行李箱舊換新限時活動,行李箱維修,2699,亞商傲,0,,,,,,,"(30.0, 36.0]",2020,0
20010100015,FB,未提供,26,雙子座,台北市,0,1,2020/1/2,冬,床墊精油清洗除污漬,床墊清洗,1800,三贏實,0,,,,,,,"(24.0, 30.0]",2020,0
19111400025,FB,未提供,0,未提供,宜蘭縣,0,1,2020/1/2,冬,【玩偶送洗】不限尺寸單件到府收送 ,送洗類,1500,亮麗專,0,,,,,,,未提供,2020,0
20010200036,email,女,35,天蠍座,新北市,0,1,2020/1/2,冬,【棉被送洗】不限尺寸單件到府收送 (再升級洗黃斑+真空壓縮),送洗類,1100,亮麗專,0,,,,,,,"(30.0, 36.0]",2020,1
20010200021,email,未提供,40,天蠍座,桃園市,0,2,2020/1/2,冬,專業整理師到府收納服務,收納服務,4800,墨妮整,1,70.0,2020/3/11,冷氣清洗保養+高溫蒸氣殺菌處理,冷氣清潔,3700.0,快速潔企業有限公司,"(36.0, 42.0]",2020,0
19123000053,email,男,53,天秤座,新北市,0,2,2020/1/2,冬,水管清洗,水塔、水管,3990,快速潔,0,,,,,,,"(48.0, 54.0]",2020,0
20010200041,email,未提供,33,獅子座,桃園市,0,1,2020/1/2,冬,床墊精油清洗除污漬,床墊清洗,3800,三贏實,0,,,,,,,"(30.0, 36.0]",2020,0
20010200008,email,未提供,0,未提供,台北市,0,1,2020/1/2,冬,居家清潔四小時(台中以北),大掃除、居家清潔,2300,快速潔,0,,,,,,,未提供,2020,1
20010200044,email,未提供,39,天秤座,桃園市,0,1,2020/1/2,冬,床墊精油清洗除污漬,床墊清洗,4399,三贏實,0,,,,,,,"(36.0, 42.0]",2020,0
20010200050,email,未提供,0,未提供,桃園市,0,1,2020/1/2,冬,床墊精油清洗除污漬,床墊清洗,3800,三贏實,0,,,,,,,未提供,2020,1
19122900022,FB,未提供,0,未提供,台北市,0,1,2020/1/2,冬,【棉被送洗】不限尺寸單件到府收送 (再升級洗黃斑+真空壓縮),送洗類,500,亮麗專,0,,,,,,,未提供,2020,0
20010200051,email,未提供,28,天蠍座,新北市,0,1,2020/1/2,冬,水管清洗,水塔、水管,3990,快速潔,0,,,,,,,"(24.0, 30.0]",2020,0
19070500034,email,未提供,0,未提供,台北市,0,1,2020/1/2,冬,水管清洗,水塔、水管,3990,快速潔,0,,,,,,,未提供,2020,0
19111400034,FB,未提供,44,天蠍座,台南市,0,1,2020/1/3,冬,床墊精油清洗除污漬,床墊清洗,3022,家家淨,0,,,,,,,"(42.0, 48.0]",2020,0
20010300006,email,未提供,36,天秤座,新北市,0,1,2020/1/3,冬,床墊精油清洗除污漬,床墊清洗,2800,三贏實,0,,,,,,,"(30.0, 36.0]",2020,0
20010200038,email,未提供,0,未提供,高雄市,0,1,2020/1/3,冬,床墊精油清洗除污漬,床墊清洗,3008,家家淨,0,,,,,,,未提供,2020,0
